current_season_end	current_season_start	distance_map	mean_distance	other_season_end	other_season_start	replicate	total_comparisons	total_distance	filename
2009-07-01	2008-07-01	wolf	5.24	2010-07-01	2009-07-01	0	189756	994194.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2009-07-01	2008-07-01	wolf	7.46	2011-07-01	2010-07-01	0	272084	2030464.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2010-07-01	2009-07-01	wolf	4.56	2010-07-01	2009-07-01	0	142884	651654.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2010-07-01	2009-07-01	wolf	6.25	2011-07-01	2010-07-01	0	204876	1280122.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2010-07-01	2009-07-01	wolf	6.41	2012-07-01	2011-07-01	0	202986	1301700.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2011-07-01	2010-07-01	wolf	5.3	2011-07-01	2010-07-01	0	293764	1558314.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2011-07-01	2010-07-01	wolf	6.47	2012-07-01	2011-07-01	0	291054	1882071.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2011-07-01	2010-07-01	wolf	8.94	2013-07-01	2012-07-01	0	305688	2732764.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2012-07-01	2011-07-01	wolf	5.22	2012-07-01	2011-07-01	0	288369	1505052.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2012-07-01	2011-07-01	wolf	6.12	2013-07-01	2012-07-01	0	302868	1852354.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2012-07-01	2011-07-01	wolf	7.57	2014-07-01	2013-07-01	0	306627	2322645.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2013-07-01	2012-07-01	wolf	4.68	2013-07-01	2012-07-01	0	318096	1489124.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2013-07-01	2012-07-01	wolf	4.67	2014-07-01	2013-07-01	0	322044	1503802.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2013-07-01	2012-07-01	wolf	6.46	2015-07-01	2014-07-01	0	332196	2145444.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
